Nama Produk,SKU Induk,Bulan,Tahun,Total_Terjual,Total_Transaksi,Rata_Harga,Total_Diskon,Ada_Event,Lag_1,Lag_2,Rolling_Mean_3,Produk_Encoded,Lag_3,Rolling_Mean_6,Tren,Kategori,Kategori_Encoded
Blouse Wanita Kekinian Import,BLO-004,6,2024,6.0,2.0,276300.0,827800.0,1.0,2.0,3.0,3.6666666666666665,1,6.0,2.6,-1.0,Blouse,0
Blouse Wanita Kekinian Import,BLO-004,7,2024,7.0,2.0,306150.0,673200.0,0.0,6.0,2.0,3.6666666666666665,1,3.0,3.1666666666666665,4.0,Blouse,0
Blouse Wanita Kekinian Import,BLO-004,8,2024,2.0,2.0,314050.0,163900.0,0.0,7.0,6.0,5.0,1,2.0,4.0,1.0,Blouse,0
Blouse Wanita Kekinian Import,BLO-004,9,2024,10.0,3.0,300266.6666666667,881000.0,1.0,2.0,7.0,5.0,1,6.0,4.333333333333333,-5.0,Blouse,0
Blouse Wanita Kekinian Import,BLO-004,10,2024,0.0,0.0,291295.8333333333,0.0,0.0,10.0,2.0,6.333333333333333,1,7.0,5.0,8.0,Blouse,0
Blouse Wanita Kekinian Import,BLO-004,11,2024,0.0,0.0,291295.8333333333,0.0,0.0,0.0,10.0,4.0,1,2.0,4.5,-10.0,Blouse,0
Blouse Wanita Kekinian Import,BLO-004,12,2024,0.0,0.0,291295.8333333333,0.0,0.0,0.0,0.0,3.3333333333333335,1,10.0,4.166666666666667,0.0,Blouse,0
Blouse Wanita Polos Murah,BLO-034,1,2024,0.0,0.0,214251.85185185182,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,Blouse,0
Blouse Wanita Polos Murah,BLO-034,2,2024,7.0,3.0,198566.66666666666,547500.0,1.0,0.0,0.0,0.0,2,0.0,0.0,0.0,Blouse,0
Blouse Wanita Polos Murah,BLO-034,3,2024,7.0,3.0,202600.0,571700.0,1.0,7.0,0.0,3.5,2,0.0,3.5,7.0,Blouse,0
Blouse Wanita Polos Murah,BLO-034,4,2024,1.0,1.0,200400.0,79600.0,0.0,7.0,7.0,4.666666666666667,2,0.0,4.666666666666667,0.0,Blouse,0
Blouse Wanita Polos Murah,BLO-034,5,2024,2.0,1.0,176500.0,207000.0,1.0,1.0,7.0,5.0,2,7.0,3.75,-6.0,Blouse,0
Blouse Wanita Polos Murah,BLO-034,6,2024,1.0,1.0,249000.0,31000.0,0.0,2.0,1.0,3.3333333333333335,2,7.0,3.4,1.0,Blouse,0
Blouse Wanita Polos Murah,BLO-034,7,2024,9.0,2.0,227400.0,504700.0,0.0,1.0,2.0,1.3333333333333333,2,1.0,3.0,-1.0,Blouse,0
Blouse Wanita Polos Murah,BLO-034,8,2024,5.0,1.0,265800.0,71000.0,0.0,9.0,1.0,4.0,2,2.0,4.5,8.0,Blouse,0
Blouse Wanita Polos Murah,BLO-034,9,2024,4.0,1.0,171900.0,432400.0,0.0,5.0,9.0,5.0,2,1.0,4.166666666666667,-4.0,Blouse,0
Blouse Wanita Polos Murah,BLO-034,10,2024,2.0,1.0,236100.0,87800.0,0.0,4.0,5.0,6.0,2,9.0,3.6666666666666665,-1.0,Blouse,0
Blouse Wanita Polos Murah,BLO-034,11,2024,0.0,0.0,214251.85185185182,0.0,0.0,2.0,4.0,3.6666666666666665,2,5.0,3.8333333333333335,-2.0,Blouse,0
Blouse Wanita Polos Murah,BLO-034,12,2024,0.0,0.0,214251.85185185182,0.0,0.0,0.0,2.0,2.0,2,4.0,3.5,-2.0,Blouse,0
Cardigan Wanita Basic Terbaru,CAR-065,1,2024,4.0,1.0,273200.0,191200.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,Cardigan,1
Cardigan Wanita Basic Terbaru,CAR-065,2,2024,8.0,2.0,239650.0,604300.0,1.0,4.0,0.0,4.0,3,0.0,4.0,4.0,Cardigan,1
Cardigan Wanita Basic Terbaru,CAR-065,3,2024,10.0,2.0,283950.0,370500.0,0.0,8.0,4.0,6.0,3,0.0,6.0,4.0,Cardigan,1
Cardigan Wanita Basic Terbaru,CAR-065,4,2024,0.0,0.0,248522.22222222222,0.0,0.0,10.0,8.0,7.333333333333333,3,4.0,7.333333333333333,2.0,Cardigan,1
Cardigan Wanita Basic Terbaru,CAR-065,5,2024,2.0,1.0,216700.0,208600.0,0.0,0.0,10.0,6.0,3,8.0,5.5,-10.0,Cardigan,1
Cardigan Wanita Basic Terbaru,CAR-065,6,2024,4.0,1.0,231500.0,358000.0,1.0,2.0,0.0,4.0,3,10.0,4.8,2.0,Cardigan,1
Cardigan Wanita Basic Terbaru,CAR-065,7,2024,0.0,0.0,248522.22222222222,0.0,0.0,4.0,2.0,2.0,3,0.0,4.666666666666667,2.0,Cardigan,1
Cardigan Wanita Basic Terbaru,CAR-065,8,2024,5.0,1.0,225000.0,480000.0,0.0,0.0,4.0,2.0,3,2.0,4.0,-4.0,Cardigan,1
Cardigan Wanita Basic Terbaru,CAR-065,9,2024,7.0,2.0,281750.0,274100.0,0.0,5.0,0.0,3.0,3,4.0,3.5,5.0,Cardigan,1
Cardigan Wanita Basic Terbaru,CAR-065,10,2024,8.0,2.0,252350.0,549200.0,1.0,7.0,5.0,4.0,3,0.0,3.0,2.0,Cardigan,1
Cardigan Wanita Basic Terbaru,CAR-065,11,2024,0.0,0.0,248522.22222222222,0.0,0.0,8.0,7.0,6.666666666666667,3,5.0,4.333333333333333,1.0,Cardigan,1
Cardigan Wanita Basic Terbaru,CAR-065,12,2024,11.0,3.0,232600.0,958500.0,1.0,0.0,8.0,5.0,3,7.0,4.0,-8.0,Cardigan,1
Cardigan Wanita Casual Elegan,CAR-017,1,2024,5.0,1.0,194400.0,148000.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,Cardigan,1
Cardigan Wanita Casual Elegan,CAR-017,2,2024,3.0,1.0,195900.0,84300.0,0.0,5.0,0.0,5.0,4,0.0,5.0,5.0,Cardigan,1
Cardigan Wanita Casual Elegan,CAR-017,3,2024,0.0,0.0,176521.2962962963,0.0,0.0,3.0,5.0,4.0,4,0.0,4.0,-2.0,Cardigan,1
Cardigan Wanita Casual Elegan,CAR-017,4,2024,2.0,1.0,193100.0,61800.0,1.0,0.0,3.0,2.6666666666666665,4,5.0,2.6666666666666665,-3.0,Cardigan,1
Cardigan Wanita Casual Elegan,CAR-017,5,2024,10.0,2.0,176250.0,477500.0,0.0,2.0,0.0,1.6666666666666667,4,3.0,2.5,2.0,Cardigan,1
Cardigan Wanita Casual Elegan,CAR-017,6,2024,4.0,3.0,164600.0,226200.0,1.0,10.0,2.0,4.0,4,0.0,4.0,8.0,Cardigan,1
Cardigan Wanita Casual Elegan,CAR-017,7,2024,0.0,0.0,176521.2962962963,0.0,0.0,4.0,10.0,5.333333333333333,4,2.0,4.0,-6.0,Cardigan,1
Cardigan Wanita Casual Elegan,CAR-017,8,2024,12.0,3.0,174566.66666666666,588400.0,1.0,0.0,4.0,4.666666666666667,4,10.0,3.1666666666666665,-4.0,Cardigan,1
Cardigan Wanita Casual Elegan,CAR-017,9,2024,8.0,2.0,167150.0,454800.0,1.0,12.0,0.0,5.333333333333333,4,4.0,4.666666666666667,12.0,Cardigan,1
Cardigan Wanita Casual Elegan,CAR-017,10,2024,12.0,4.0,171125.0,632900.0,0.0,8.0,12.0,6.666666666666667,4,0.0,6.0,-4.0,Cardigan,1
Cardigan Wanita Casual Elegan,CAR-017,11,2024,1.0,1.0,151600.0,72400.0,1.0,12.0,8.0,10.666666666666666,4,12.0,7.666666666666667,4.0,Cardigan,1
Cardigan Wanita Casual Elegan,CAR-017,12,2024,0.0,0.0,176521.2962962963,0.0,0.0,1.0,12.0,7.0,4,8.0,6.166666666666667,-11.0,Cardigan,1
Cardigan Wanita Formal Terbaru,CAR-093,1,2024,4.0,1.0,229600.0,549600.0,1.0,0.0,0.0,0.0,5,0.0,0.0,0.0,Cardigan,1
Cardigan Wanita Formal Terbaru,CAR-093,2,2024,9.0,2.0,307500.0,528700.0,0.0,4.0,0.0,4.0,5,0.0,4.0,4.0,Cardigan,1
Cardigan Wanita Formal Terbaru,CAR-093,3,2024,3.0,2.0,324750.0,139000.0,1.0,9.0,4.0,6.5,5,0.0,6.5,5.0,Cardigan,1
Cardigan Wanita Formal Terbaru,CAR-093,4,2024,7.0,2.0,256300.0,779600.0,0.0,3.0,9.0,5.333333333333333,5,4.0,5.333333333333333,-6.0,Cardigan,1
Cardigan Wanita Formal Terbaru,CAR-093,5,2024,10.0,3.0,253500.0,1145200.0,1.0,7.0,3.0,6.333333333333333,5,9.0,5.75,4.0,Cardigan,1
Cardigan Wanita Formal Terbaru,CAR-093,6,2024,9.0,4.0,316025.0,415200.0,1.0,10.0,7.0,6.666666666666667,5,3.0,6.6,3.0,Cardigan,1
Cardigan Wanita Formal Terbaru,CAR-093,7,2024,5.0,1.0,345400.0,108000.0,0.0,9.0,10.0,8.666666666666666,5,7.0,7.0,-1.0,Cardigan,1
Cardigan Wanita Formal Terbaru,CAR-093,8,2024,2.0,1.0,338900.0,56200.0,0.0,5.0,9.0,8.0,5,10.0,7.166666666666667,-4.0,Cardigan,1
Cardigan Wanita Formal Terbaru,CAR-093,9,2024,0.0,0.0,299547.22222222225,0.0,0.0,2.0,5.0,5.333333333333333,5,9.0,6.0,-3.0,Cardigan,1
Cardigan Wanita Formal Terbaru,CAR-093,10,2024,4.0,2.0,323950.0,182700.0,1.0,0.0,2.0,2.3333333333333335,5,5.0,5.5,-2.0,Cardigan,1
Cardigan Wanita Formal Terbaru,CAR-093,11,2024,0.0,0.0,299547.22222222225,0.0,0.0,4.0,0.0,2.0,5,2.0,5.0,4.0,Cardigan,1
Cardigan Wanita Formal Terbaru,CAR-093,12,2024,0.0,0.0,299547.22222222225,0.0,0.0,0.0,4.0,1.3333333333333333,5,0.0,3.3333333333333335,-4.0,Cardigan,1
Cardigan Wanita Korean Style Terbaru,CAR-044,1,2024,5.0,1.0,241000.0,755000.0,1.0,0.0,0.0,0.0,6,0.0,0.0,0.0,Cardigan,1
Cardigan Wanita Korean Style Terbaru,CAR-044,2,2024,3.0,1.0,309300.0,248100.0,0.0,5.0,0.0,5.0,6,0.0,5.0,5.0,Cardigan,1
Cardigan Wanita Korean Style Terbaru,CAR-044,3,2024,2.0,1.0,245700.0,292600.0,1.0,3.0,5.0,4.0,6,0.0,4.0,-2.0,Cardigan,1
Cardigan Wanita Korean Style Terbaru,CAR-044,4,2024,0.0,0.0,276400.0,0.0,0.0,2.0,3.0,3.3333333333333335,6,5.0,3.3333333333333335,-1.0,Cardigan,1
Cardigan Wanita Korean Style Terbaru,CAR-044,5,2024,0.0,0.0,276400.0,0.0,0.0,0.0,2.0,1.6666666666666667,6,3.0,2.5,-2.0,Cardigan,1
Cardigan Wanita Korean Style Terbaru,CAR-044,6,2024,8.0,2.0,328400.0,538200.0,1.0,0.0,0.0,0.6666666666666666,6,2.0,2.0,0.0,Cardigan,1
Cardigan Wanita Korean Style Terbaru,CAR-044,7,2024,1.0,1.0,263600.0,128400.0,1.0,8.0,0.0,2.6666666666666665,6,0.0,3.0,8.0,Cardigan,1
Cardigan Wanita Korean Style Terbaru,CAR-044,8,2024,6.0,2.0,324700.0,569000.0,1.0,1.0,8.0,3.0,6,0.0,2.3333333333333335,-7.0,Cardigan,1
Cardigan Wanita Korean Style Terbaru,CAR-044,9,2024,0.0,0.0,276400.0,0.0,0.0,6.0,1.0,5.0,6,8.0,2.8333333333333335,5.0,Cardigan,1
Cardigan Wanita Korean Style Terbaru,CAR-044,10,2024,0.0,0.0,276400.0,0.0,0.0,0.0,6.0,2.3333333333333335,6,1.0,2.5,-6.0,Cardigan,1
Cardigan Wanita Korean Style Terbaru,CAR-044,11,2024,5.0,1.0,250400.0,708000.0,0.0,0.0,0.0,2.0,6,6.0,2.5,0.0,Cardigan,1
Cardigan Wanita Korean Style Terbaru,CAR-044,12,2024,5.0,1.0,248100.0,719500.0,0.0,5.0,0.0,1.6666666666666667,6,0.0,3.3333333333333335,5.0,Cardigan,1
Cardigan Wanita Motif Bunga Murah,CAR-018,1,2024,14.0,4.0,329525.0,1252600.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,Cardigan,1
Cardigan Wanita Motif Bunga Murah,CAR-018,2,2024,0.0,0.0,333375.0,0.0,0.0,14.0,0.0,14.0,7,0.0,14.0,14.0,Cardigan,1
Cardigan Wanita Motif Bunga Murah,CAR-018,3,2024,9.0,3.0,318500.0,906000.0,1.0,0.0,14.0,7.0,7,0.0,7.0,-14.0,Cardigan,1
Cardigan Wanita Motif Bunga Murah,CAR-018,4,2024,3.0,1.0,319500.0,310500.0,0.0,9.0,0.0,7.666666666666667,7,14.0,7.666666666666667,9.0,Cardigan,1
Cardigan Wanita Motif Bunga Murah,CAR-018,5,2024,2.0,1.0,393200.0,59600.0,0.0,3.0,9.0,4.0,7,0.0,6.5,-6.0,Cardigan,1
Cardigan Wanita Motif Bunga Murah,CAR-018,6,2024,7.0,2.0,329250.0,465000.0,0.0,2.0,3.0,4.666666666666667,7,9.0,5.6,-1.0,Cardigan,1
Cardigan Wanita Motif Bunga Murah,CAR-018,7,2024,3.0,1.0,325100.0,293700.0,0.0,7.0,2.0,4.0,7,3.0,5.833333333333333,5.0,Cardigan,1
Cardigan Wanita Motif Bunga Murah,CAR-018,8,2024,0.0,0.0,333375.0,0.0,0.0,3.0,7.0,4.0,7,2.0,4.0,-4.0,Cardigan,1
Cardigan Wanita Motif Bunga Murah,CAR-018,9,2024,8.0,4.0,304925.0,826700.0,1.0,0.0,3.0,3.3333333333333335,7,7.0,4.0,-3.0,Cardigan,1
Cardigan Wanita Motif Bunga Murah,CAR-018,10,2024,4.0,1.0,347000.0,304000.0,1.0,8.0,0.0,3.6666666666666665,7,3.0,3.8333333333333335,8.0,Cardigan,1
Cardigan Wanita Motif Bunga Murah,CAR-018,11,2024,0.0,0.0,333375.0,0.0,0.0,4.0,8.0,4.0,7,0.0,4.0,-4.0,Cardigan,1
Cardigan Wanita Motif Bunga Murah,CAR-018,12,2024,0.0,0.0,333375.0,0.0,0.0,0.0,4.0,4.0,7,8.0,3.6666666666666665,-4.0,Cardigan,1
Cardigan Wanita Polos Terbaru,CAR-036,1,2024,7.0,2.0,48100.0,167100.0,1.0,0.0,0.0,0.0,8,0.0,0.0,0.0,Cardigan,1
Cardigan Wanita Polos Terbaru,CAR-036,2,2024,12.0,3.0,55700.0,197700.0,1.0,7.0,0.0,7.0,8,0.0,7.0,7.0,Cardigan,1
Cardigan Wanita Polos Terbaru,CAR-036,3,2024,0.0,0.0,54356.25,0.0,0.0,12.0,7.0,9.5,8,0.0,9.5,5.0,Cardigan,1
Cardigan Wanita Polos Terbaru,CAR-036,4,2024,1.0,1.0,55400.0,17600.0,1.0,0.0,12.0,6.333333333333333,8,7.0,6.333333333333333,-12.0,Cardigan,1
Cardigan Wanita Polos Terbaru,CAR-036,5,2024,0.0,0.0,54356.25,0.0,0.0,1.0,0.0,4.333333333333333,8,12.0,5.0,1.0,Cardigan,1
Cardigan Wanita Polos Terbaru,CAR-036,6,2024,0.0,0.0,54356.25,0.0,0.0,0.0,1.0,0.3333333333333333,8,0.0,4.0,-1.0,Cardigan,1
Cardigan Wanita Polos Terbaru,CAR-036,7,2024,4.0,1.0,62300.0,42800.0,0.0,0.0,0.0,0.3333333333333333,8,1.0,3.3333333333333335,0.0,Cardigan,1
Cardigan Wanita Polos Terbaru,CAR-036,8,2024,3.0,1.0,60500.0,37500.0,0.0,4.0,0.0,1.3333333333333333,8,0.0,2.8333333333333335,4.0,Cardigan,1
Cardigan Wanita Polos Terbaru,CAR-036,9,2024,6.0,2.0,48900.0,144600.0,1.0,3.0,4.0,2.3333333333333335,8,0.0,1.3333333333333333,-1.0,Cardigan,1
Cardigan Wanita Polos Terbaru,CAR-036,10,2024,3.0,1.0,47200.0,77400.0,0.0,6.0,3.0,4.333333333333333,8,4.0,2.3333333333333335,3.0,Cardigan,1
Cardigan Wanita Polos Terbaru,CAR-036,11,2024,6.0,2.0,56750.0,97500.0,0.0,3.0,6.0,4.0,8,3.0,2.6666666666666665,-3.0,Cardigan,1
Cardigan Wanita Polos Terbaru,CAR-036,12,2024,0.0,0.0,54356.25,0.0,0.0,6.0,3.0,5.0,8,6.0,3.6666666666666665,3.0,Cardigan,1
Cardigan Wanita Slim Fit Murah,CAR-073,1,2024,2.0,1.0,78900.0,62200.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,Cardigan,1
Cardigan Wanita Slim Fit Murah,CAR-073,2,2024,10.0,2.0,92400.0,176000.0,0.0,2.0,0.0,2.0,9,0.0,2.0,2.0,Cardigan,1
Cardigan Wanita Slim Fit Murah,CAR-073,3,2024,7.0,3.0,82400.0,192100.0,1.0,10.0,2.0,6.0,9,0.0,6.0,8.0,Cardigan,1
Cardigan Wanita Slim Fit Murah,CAR-073,4,2024,1.0,1.0,72200.0,37800.0,0.0,7.0,10.0,6.333333333333333,9,2.0,6.333333333333333,-3.0,Cardigan,1
Cardigan Wanita Slim Fit Murah,CAR-073,5,2024,5.0,1.0,81400.0,143000.0,0.0,1.0,7.0,6.0,9,10.0,5.0,-6.0,Cardigan,1
Cardigan Wanita Slim Fit Murah,CAR-073,6,2024,6.0,3.0,91266.66666666667,105700.0,1.0,5.0,1.0,4.333333333333333,9,7.0,5.0,4.0,Cardigan,1
Cardigan Wanita Slim Fit Murah,CAR-073,7,2024,4.0,2.0,86550.0,110500.0,1.0,6.0,5.0,4.0,9,1.0,5.166666666666667,1.0,Cardigan,1
Cardigan Wanita Slim Fit Murah,CAR-073,8,2024,0.0,0.0,83511.66666666667,0.0,0.0,4.0,6.0,5.0,9,5.0,5.5,-2.0,Cardigan,1
Cardigan Wanita Slim Fit Murah,CAR-073,9,2024,5.0,1.0,94200.0,79000.0,0.0,0.0,4.0,3.3333333333333335,9,6.0,3.8333333333333335,-4.0,Cardigan,1
Cardigan Wanita Slim Fit Murah,CAR-073,10,2024,3.0,1.0,66300.0,131100.0,0.0,5.0,0.0,3.0,9,4.0,3.5,5.0,Cardigan,1
Cardigan Wanita Slim Fit Murah,CAR-073,11,2024,0.0,0.0,83511.66666666667,0.0,0.0,3.0,5.0,2.6666666666666665,9,0.0,3.8333333333333335,-2.0,Cardigan,1
Cardigan Wanita Slim Fit Murah,CAR-073,12,2024,8.0,3.0,89500.0,160600.0,1.0,0.0,3.0,2.6666666666666665,9,5.0,3.0,-3.0,Cardigan,1
Celana Kulot Wanita Formal Import,CEL-088,1,2024,0.0,0.0,341581.4814814815,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,Celana,2
Celana Kulot Wanita Formal Import,CEL-088,2,2024,0.0,0.0,341581.4814814815,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,Celana,2
Celana Kulot Wanita Formal Import,CEL-088,3,2024,6.0,2.0,352100.0,503600.0,1.0,0.0,0.0,0.0,10,0.0,0.0,0.0,Celana,2
Celana Kulot Wanita Formal Import,CEL-088,4,2024,10.0,3.0,406666.6666666667,322800.0,0.0,6.0,0.0,2.0,10,0.0,2.0,6.0,Celana,2
Celana Kulot Wanita Formal Import,CEL-088,5,2024,0.0,0.0,341581.4814814815,0.0,0.0,10.0,6.0,5.333333333333333,10,0.0,4.0,4.0,Celana,2
Celana Kulot Wanita Formal Import,CEL-088,6,2024,5.0,1.0,306200.0,664000.0,0.0,0.0,10.0,5.333333333333333,10,6.0,3.2,-10.0,Celana,2
Celana Kulot Wanita Formal Import,CEL-088,7,2024,3.0,1.0,272600.0,499200.0,0.0,5.0,0.0,5.0,10,10.0,3.5,5.0,Celana,2
Celana Kulot Wanita Formal Import,CEL-088,8,2024,3.0,2.0,346550.0,341700.0,1.0,3.0,5.0,2.6666666666666665,10,0.0,4.0,-2.0,Celana,2
Celana Kulot Wanita Formal Import,CEL-088,9,2024,6.0,2.0,316700.0,733800.0,1.0,3.0,3.0,3.6666666666666665,10,5.0,4.5,0.0,Celana,2
Celana Kulot Wanita Formal Import,CEL-088,10,2024,6.0,2.0,343250.0,483900.0,1.0,6.0,3.0,4.0,10,3.0,4.5,3.0,Celana,2
Celana Kulot Wanita Formal Import,CEL-088,11,2024,8.0,3.0,355766.6666666667,655900.0,1.0,6.0,6.0,5.0,10,3.0,3.8333333333333335,0.0,Celana,2
Celana Kulot Wanita Formal Import,CEL-088,12,2024,3.0,1.0,374400.0,193800.0,0.0,8.0,6.0,6.666666666666667,10,6.0,5.166666666666667,2.0,Celana,2
Celana Kulot Wanita Formal Murah,CEL-007,1,2024,2.0,1.0,76400.0,11200.0,1.0,0.0,0.0,0.0,11,0.0,0.0,0.0,Celana,2
Celana Kulot Wanita Formal Murah,CEL-007,2,2024,0.0,0.0,64863.33333333333,0.0,0.0,2.0,0.0,2.0,11,0.0,2.0,2.0,Celana,2
Celana Kulot Wanita Formal Murah,CEL-007,3,2024,8.0,2.0,72750.0,73900.0,1.0,0.0,2.0,1.0,11,0.0,1.0,-2.0,Celana,2
Celana Kulot Wanita Formal Murah,CEL-007,4,2024,14.0,3.0,66033.33333333333,224300.0,1.0,8.0,0.0,3.3333333333333335,11,2.0,3.3333333333333335,8.0,Celana,2
Celana Kulot Wanita Formal Murah,CEL-007,5,2024,0.0,0.0,64863.33333333333,0.0,0.0,14.0,8.0,7.333333333333333,11,0.0,6.0,6.0,Celana,2
Celana Kulot Wanita Formal Murah,CEL-007,6,2024,8.0,3.0,65633.33333333333,184000.0,0.0,0.0,14.0,7.333333333333333,11,8.0,4.8,-14.0,Celana,2
Celana Kulot Wanita Formal Murah,CEL-007,7,2024,5.0,2.0,64300.0,85300.0,1.0,8.0,0.0,7.333333333333333,11,14.0,5.333333333333333,8.0,Celana,2
Celana Kulot Wanita Formal Murah,CEL-007,8,2024,9.0,2.0,53550.0,253100.0,0.0,5.0,8.0,4.333333333333333,11,0.0,5.833333333333333,-3.0,Celana,2
Celana Kulot Wanita Formal Murah,CEL-007,9,2024,6.0,3.0,70333.33333333333,65900.0,1.0,9.0,5.0,7.333333333333333,11,8.0,7.333333333333333,4.0,Celana,2
Celana Kulot Wanita Formal Murah,CEL-007,10,2024,13.0,3.0,59233.333333333336,278100.0,1.0,6.0,9.0,6.666666666666667,11,5.0,7.0,-3.0,Celana,2
Celana Kulot Wanita Formal Murah,CEL-007,11,2024,1.0,1.0,63700.0,18300.0,0.0,13.0,6.0,9.333333333333334,11,9.0,6.833333333333333,7.0,Celana,2
Celana Kulot Wanita Formal Murah,CEL-007,12,2024,5.0,1.0,56700.0,126500.0,0.0,1.0,13.0,6.666666666666667,11,6.0,7.0,-12.0,Celana,2
Celana Kulot Wanita Korean Style Murah,CEL-085,1,2024,0.0,0.0,176920.2380952381,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,Celana,2
Celana Kulot Wanita Korean Style Murah,CEL-085,2,2024,1.0,1.0,154000.0,62000.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,Celana,2
Celana Kulot Wanita Korean Style Murah,CEL-085,3,2024,2.0,1.0,197000.0,38000.0,1.0,1.0,0.0,0.5,12,0.0,0.5,1.0,Celana,2
Celana Kulot Wanita Korean Style Murah,CEL-085,4,2024,3.0,1.0,193800.0,66600.0,1.0,2.0,1.0,1.0,12,0.0,1.0,1.0,Celana,2
Celana Kulot Wanita Korean Style Murah,CEL-085,5,2024,1.0,1.0,201900.0,14100.0,0.0,3.0,2.0,2.0,12,1.0,1.5,1.0,Celana,2
Celana Kulot Wanita Korean Style Murah,CEL-085,6,2024,15.0,4.0,165275.0,855900.0,1.0,1.0,3.0,2.0,12,2.0,1.4,-2.0,Celana,2
Celana Kulot Wanita Korean Style Murah,CEL-085,7,2024,0.0,0.0,176920.2380952381,0.0,0.0,15.0,1.0,6.333333333333333,12,3.0,3.6666666666666665,14.0,Celana,2
Celana Kulot Wanita Korean Style Murah,CEL-085,8,2024,0.0,0.0,176920.2380952381,0.0,0.0,0.0,15.0,5.333333333333333,12,1.0,3.6666666666666665,-15.0,Celana,2
Celana Kulot Wanita Korean Style Murah,CEL-085,9,2024,3.0,1.0,141300.0,224100.0,0.0,0.0,0.0,5.0,12,15.0,3.5,0.0,Celana,2
Celana Kulot Wanita Korean Style Murah,CEL-085,10,2024,0.0,0.0,176920.2380952381,0.0,0.0,3.0,0.0,1.0,12,0.0,3.6666666666666665,3.0,Celana,2
Celana Kulot Wanita Korean Style Murah,CEL-085,11,2024,12.0,3.0,185166.66666666666,399800.0,1.0,0.0,3.0,1.0,12,0.0,3.1666666666666665,-3.0,Celana,2
